"cleaning","crouching","jumping","laying","riding","running","scooter","sitting","sittingTogether","sittingWhileCalling","sittingWhileDrinking","sittingWhileEating","sittingWhileHoldingBabyInArms","sittingWhileTalkingTogether","sittingWhileWatchingPhone","standing","standingTogether","standingWhileCalling","standingWhileDrinking","standingWhileEating","standingWhileHoldingBabyInArms","standingWhileHoldingCart","standingWhileHoldingStroller","standingWhileLookingAtShops","standingWhileTalkingTogether","standingWhileWatchingPhone","walking","walkingTogether","walkingWhileCalling","walkingWhileDrinking","walkingWhileEating","walkingWhileHoldingBabyInArms","walkingWhileHoldingCart","walkingWhileHoldingStroller","walkingWhileLookingAtShops","walkingWhileTalkingTogether","walkingWhileWatchingPhone"
10,2,0,0,0,0,0,2,0,0,0,0,0,0,0,45,8,0,0,0,0,0,0,7,1,3,64,1,1,0,0,0,0,0,0,0,3
3,124,0,3,0,0,0,101,0,0,0,0,0,0,15,37,6,0,0,0,0,0,2,3,0,0,34,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,51,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,12,1,0,0,0,1,1,0,0,0,0
0,0,2,0,0,50,0,1,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,2,0,219,13,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0
1,56,0,0,0,0,1,1122,19,1,0,0,0,0,121,330,134,0,0,0,0,0,0,4,8,5,505,15,0,0,1,1,14,1,0,0,1
0,3,0,0,0,0,0,197,10,0,0,1,0,0,20,48,8,0,0,0,0,0,0,0,1,4,59,2,1,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,15,1,3,0,3,0,0,9,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,42,1,0,0,0,0,0,10,25,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,43,2,0,0,0,0,0,13,5,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,68,13,0,0,1,0,0,13,11,1,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0
1,16,0,0,0,0,0,320,8,1,0,4,0,0,366,82,11,0,0,0,0,0,0,2,0,10,59,1,0,0,0,0,1,0,0,0,1
7,21,0,0,0,0,0,106,2,0,0,0,0,0,26,4509,345,22,0,11,5,0,2,677,560,266,4276,12,10,0,1,8,3,0,0,0,16
1,6,0,1,0,0,0,19,0,0,0,0,0,0,2,913,291,6,0,4,1,0,0,273,353,63,898,8,2,0,0,3,0,0,0,0,4
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,83,6,135,0,12,0,0,0,60,33,45,45,0,42,0,5,0,0,0,0,0,4
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,10,3,0,7,0,0,0,4,10,21,19,0,1,0,3,0,0,0,0,0,2
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,36,27,7,0,16,1,0,0,16,32,34,19,0,0,0,2,0,0,0,0,0,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,148,41,1,0,0,9,0,0,59,68,8,148,1,0,0,0,6,0,0,0,0,2
2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,70,7,0,0,0,0,0,0,34,14,20,47,0,0,0,0,0,1,0,0,0,0
2,9,0,0,0,0,0,5,0,0,0,0,0,0,0,87,20,1,0,0,0,0,0,56,45,9,65,0,1,0,0,1,2,0,0,0,0
1,2,0,0,0,0,0,22,0,0,0,0,0,0,6,1355,196,8,0,5,0,0,0,530,338,138,1241,6,5,0,0,2,0,0,0,0,6
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,209,64,2,0,3,0,0,1,203,305,28,178,5,2,0,0,2,0,1,0,0,4
1,1,0,0,0,0,0,2,0,0,0,0,0,0,3,500,47,7,0,4,1,0,0,148,92,625,242,0,3,0,5,0,0,0,0,0,41
3,7,0,0,0,12,0,47,1,0,0,0,0,0,3,1647,241,7,0,2,1,0,0,212,344,49,22796,431,109,1,38,83,21,7,0,0,363
1,1,0,0,0,9,0,22,0,0,0,0,0,0,0,544,176,2,0,2,0,0,0,98,194,24,7210,573,48,1,27,41,7,1,0,0,108
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54,22,54,0,10,0,0,0,19,44,25,640,31,1378,7,53,21,4,0,0,0,117
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,7,2,0,4,0,0,0,11,20,12,255,79,32,12,111,11,0,1,0,0,95
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,17,18,1,0,7,0,0,0,16,49,11,386,90,35,11,204,15,0,0,0,0,125
0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,178,49,0,0,0,5,0,0,35,77,2,1115,54,7,0,3,300,2,0,0,0,15
3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,105,34,1,0,0,0,0,1,49,39,15,948,21,17,0,0,4,566,20,0,0,16
0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,147,23,3,0,0,0,0,2,42,38,4,1218,64,21,0,1,9,153,255,0,0,17
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,65,7,0,0,0,0,0,0,11,10,2,624,10,7,0,0,1,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,5,19,1,186,36,3,0,8,5,0,0,0,0,3
0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,167,26,3,0,1,0,0,0,46,34,154,1262,38,92,7,61,27,7,2,0,0,1798
