"cleaning","crouching","jumping","laying","riding","running","scooter","sitting","sittingTogether","sittingWhileCalling","sittingWhileDrinking","sittingWhileEating","sittingWhileHoldingBabyInArms","sittingWhileTalkingTogether","sittingWhileWatchingPhone","standing","standingTogether","standingWhileCalling","standingWhileDrinking","standingWhileEating","standingWhileHoldingBabyInArms","standingWhileHoldingCart","standingWhileHoldingStroller","standingWhileLookingAtShops","standingWhileTalkingTogether","standingWhileWatchingPhone","walking","walkingTogether","walkingWhileCalling","walkingWhileDrinking","walkingWhileEating","walkingWhileHoldingBabyInArms","walkingWhileHoldingCart","walkingWhileHoldingStroller","walkingWhileLookingAtShops","walkingWhileTalkingTogether","walkingWhileWatchingPhone"
0.06803,0.01361,0.0,0.0,0.0,0.0,0.0,0.01361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30612,0.05442,0.0,0.0,0.0,0.0,0.0,0.0,0.04762,0.0068,0.02041,0.43537,0.0068,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02041
0.00915,0.37805,0.0,0.00915,0.0,0.0,0.0,0.30793,0.0,0.0,0.0,0.0,0.0,0.0,0.04573,0.1128,0.01829,0.0,0.0,0.0,0.0,0.0,0.0061,0.00915,0.0,0.0,0.10366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.05085,0.0,0.0,0.01695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01695,0.0,0.0,0.86441,0.01695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.02174,0.0,0.0,0.0,0.0,0.0,0.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391,0.02174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02174,0.0,0.26087,0.02174,0.0,0.0,0.0,0.02174,0.02174,0.0,0.0,0.0,0.0
0.0,0.0,0.00669,0.0,0.0,0.16722,0.0,0.00334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02007,0.01338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00669,0.0,0.73244,0.04348,0.0,0.0,0.0,0.00334,0.0,0.0,0.0,0.0,0.00334
0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00043,0.02393,0.0,0.0,0.0,0.0,0.00043,0.47949,0.00812,0.00043,0.0,0.0,0.0,0.0,0.05171,0.14103,0.05726,0.0,0.0,0.0,0.0,0.0,0.0,0.00171,0.00342,0.00214,0.21581,0.00641,0.0,0.0,0.00043,0.00043,0.00598,0.00043,0.0,0.0,0.00043
0.0,0.00847,0.0,0.0,0.0,0.0,0.0,0.5565,0.02825,0.0,0.0,0.00282,0.0,0.0,0.0565,0.13559,0.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00282,0.0113,0.16667,0.00565,0.00282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.07143,0.0,0.0,0.0,0.0,0.0,0.35714,0.02381,0.07143,0.0,0.07143,0.0,0.0,0.21429,0.07143,0.02381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55556,0.0,0.0,0.0,0.0,0.0,0.0,0.16667,0.16667,0.05556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01031,0.0,0.0,0.0,0.0,0.0,0.43299,0.01031,0.0,0.0,0.0,0.0,0.0,0.10309,0.25773,0.04124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
