"cleaning","crouching","jumping","laying","riding","running","scooter","sitting","sittingTogether","sittingWhileCalling","sittingWhileDrinking","sittingWhileEating","sittingWhileHoldingBabyInArms","sittingWhileTalkingTogether","sittingWhileWatchingPhone","standing","standingTogether","standingWhileCalling","standingWhileDrinking","standingWhileEating","standingWhileHoldingBabyInArms","standingWhileHoldingCart","standingWhileHoldingStroller","standingWhileLookingAtShops","standingWhileTalkingTogether","standingWhileWatchingPhone","walking","walkingTogether","walkingWhileCalling","walkingWhileDrinking","walkingWhileEating","walkingWhileHoldingBabyInArms","walkingWhileHoldingCart","walkingWhileHoldingStroller","walkingWhileLookingAtShops","walkingWhileTalkingTogether","walkingWhileWatchingPhone"
7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,50,4,0,0,0,0,0,1,8,0,0,70,1,0,0,0,0,2,0,0,0,2
1,157,0,0,0,1,0,74,0,1,0,0,0,0,14,49,5,0,0,0,0,0,2,1,0,0,22,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,35,10,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,21,1,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,12,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,52,0,0,0,0,0,0,0,0,1,9,4,0,0,0,0,0,0,1,0,0,206,21,2,0,0,1,1,0,0,0,1
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0
0,79,0,0,1,0,0,1151,62,0,0,8,0,0,130,357,52,1,0,0,0,0,0,6,1,1,445,9,2,0,0,0,30,5,0,0,0
0,7,0,0,0,0,0,190,23,0,0,4,0,0,20,47,4,0,0,0,0,0,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,9,0,4,0,6,0,0,11,4,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,6,1,1,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,42,1,1,0,0,0,0,17,25,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,42,6,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,42,35,1,0,2,0,1,15,13,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
0,14,0,0,0,0,0,249,9,5,0,11,0,2,422,111,4,0,0,0,0,0,0,1,0,6,45,1,0,0,0,0,1,0,0,0,2
5,22,0,0,0,0,0,140,4,0,0,0,0,0,15,4910,163,25,0,5,4,0,3,967,235,172,4106,46,9,0,4,14,15,2,0,0,19
1,8,0,0,0,0,0,32,0,0,0,0,0,0,1,1009,145,6,0,3,6,0,3,410,206,46,922,28,1,0,3,5,8,1,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,3,144,0,6,4,0,0,61,23,28,49,1,64,0,2,0,0,0,0,0,5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,5,7,0,3,0,0,1,9,11,12,19,1,2,0,3,1,0,0,0,0,3
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,45,18,9,0,10,1,0,0,27,26,24,26,1,2,0,3,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,161,18,3,0,0,21,0,0,64,43,14,137,3,2,0,0,24,0,0,0,0,2
2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,84,6,0,0,0,0,0,2,28,8,9,51,1,0,0,0,1,4,1,0,0,0
2,2,0,0,0,0,0,5,0,0,0,0,0,0,0,97,17,2,0,0,0,0,2,87,15,7,55,3,1,0,0,1,4,3,0,0,0
0,2,0,0,0,0,0,29,0,1,0,0,0,0,4,1437,76,9,0,1,8,0,1,803,146,87,1228,8,5,0,1,2,5,1,0,0,7
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,233,52,6,0,2,4,0,1,217,223,26,221,12,1,0,2,3,1,0,0,0,2
0,1,0,0,0,0,0,6,0,0,0,0,0,0,3,517,20,15,0,4,5,0,0,169,63,581,259,5,5,0,5,2,1,1,0,0,60
1,5,0,0,0,39,0,70,1,0,0,0,0,0,2,1604,102,6,0,1,4,0,0,210,118,27,22352,1088,141,11,61,81,103,19,0,0,379
0,2,0,0,0,25,0,38,1,0,0,0,0,0,0,507,91,2,0,2,1,0,0,111,74,10,6708,1218,54,3,49,32,28,15,0,0,118
0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,58,10,29,0,1,0,0,0,20,14,8,672,82,1483,3,22,13,5,7,0,0,51
