"cleaning","crouching","jumping","laying","riding","running","scooter","sitting","sittingTogether","sittingWhileCalling","sittingWhileDrinking","sittingWhileEating","sittingWhileHoldingBabyInArms","sittingWhileTalkingTogether","sittingWhileWatchingPhone","standing","standingTogether","standingWhileCalling","standingWhileDrinking","standingWhileEating","standingWhileHoldingBabyInArms","standingWhileHoldingCart","standingWhileHoldingStroller","standingWhileLookingAtShops","standingWhileTalkingTogether","standingWhileWatchingPhone","walking","walkingTogether","walkingWhileCalling","walkingWhileDrinking","walkingWhileEating","walkingWhileHoldingBabyInArms","walkingWhileHoldingCart","walkingWhileHoldingStroller","walkingWhileLookingAtShops","walkingWhileTalkingTogether","walkingWhileWatchingPhone"
0.04762,0.0068,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34014,0.02721,0.0,0.0,0.0,0.0,0.0,0.0068,0.05442,0.0,0.0,0.47619,0.0068,0.0,0.0,0.0,0.0,0.01361,0.0,0.0,0.0,0.01361
0.00305,0.47866,0.0,0.0,0.0,0.00305,0.0,0.22561,0.0,0.00305,0.0,0.0,0.0,0.0,0.04268,0.14939,0.01524,0.0,0.0,0.0,0.0,0.0,0.0061,0.00305,0.0,0.0,0.06707,0.00305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.08475,0.0,0.0339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01695,0.0,0.59322,0.16949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.06522,0.0,0.0,0.0,0.0,0.0,0.45652,0.02174,0.0,0.0,0.0,0.0,0.0,0.02174,0.06522,0.04348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02174,0.0,0.26087,0.02174,0.0,0.0,0.0,0.0,0.02174,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.17391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00334,0.0301,0.01338,0.0,0.0,0.0,0.0,0.0,0.0,0.00334,0.0,0.0,0.68896,0.07023,0.00669,0.0,0.0,0.00334,0.00334,0.0,0.0,0.0,0.00334
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03376,0.0,0.0,0.00043,0.0,0.0,0.49188,0.0265,0.0,0.0,0.00342,0.0,0.0,0.05556,0.15256,0.02222,0.00043,0.0,0.0,0.0,0.0,0.0,0.00256,0.00043,0.00043,0.19017,0.00385,0.00085,0.0,0.0,0.0,0.01282,0.00214,0.0,0.0,0.0
0.0,0.01977,0.0,0.0,0.0,0.0,0.0,0.53672,0.06497,0.0,0.0,0.0113,0.0,0.0,0.0565,0.13277,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00282,0.16384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.04762,0.0,0.0,0.0,0.0,0.0,0.21429,0.0,0.09524,0.0,0.14286,0.0,0.0,0.2619,0.09524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381,0.0,0.02381,0.09524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
