"cleaning","crouching","jumping","laying","riding","running","scooter","sitting","sittingTogether","sittingWhileCalling","sittingWhileDrinking","sittingWhileEating","sittingWhileHoldingBabyInArms","sittingWhileTalkingTogether","sittingWhileWatchingPhone","standing","standingTogether","standingWhileCalling","standingWhileDrinking","standingWhileEating","standingWhileHoldingBabyInArms","standingWhileHoldingCart","standingWhileHoldingStroller","standingWhileLookingAtShops","standingWhileTalkingTogether","standingWhileWatchingPhone","walking","walkingTogether","walkingWhileCalling","walkingWhileDrinking","walkingWhileEating","walkingWhileHoldingBabyInArms","walkingWhileHoldingCart","walkingWhileHoldingStroller","walkingWhileLookingAtShops","walkingWhileTalkingTogether","walkingWhileWatchingPhone"
8,1,0,0,0,0,0,4,0,0,0,0,0,0,1,41,4,0,0,0,0,0,0,4,2,8,71,2,0,0,0,0,0,0,0,0,1
1,104,0,0,0,0,0,114,0,1,0,0,0,0,17,40,6,0,0,0,0,0,0,4,2,0,36,2,0,0,0,1,0,0,0,0,0
0,0,1,0,0,9,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,39,7,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,1,0,0,0,0
0,0,0,0,0,80,0,6,0,0,0,0,0,0,0,9,2,0,0,0,1,0,0,0,0,0,174,22,0,0,0,3,1,0,0,0,1
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0
0,37,0,0,0,0,0,1203,28,0,0,0,0,0,126,290,72,0,0,0,0,0,0,2,12,5,527,25,0,0,0,0,9,3,0,0,1
0,2,0,0,0,0,0,220,11,0,0,1,0,1,17,37,5,0,0,0,0,0,0,0,1,1,52,2,1,0,0,0,1,1,0,0,1
0,3,0,0,0,0,0,11,0,2,0,5,0,0,11,3,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,43,0,0,0,0,0,0,17,19,1,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,42,5,0,0,0,0,0,14,4,2,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,64,20,1,0,1,0,0,11,9,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
0,19,0,0,0,0,0,323,3,0,0,4,0,0,362,69,7,0,0,0,0,0,0,1,0,7,83,2,0,0,0,1,0,0,0,0,2
11,23,0,0,0,5,0,155,7,0,0,0,0,0,62,5027,303,15,0,4,3,0,0,640,333,159,4000,83,7,0,6,18,9,1,0,0,14
1,11,0,0,0,0,0,33,0,0,0,0,0,0,4,1073,228,3,0,2,2,0,1,276,255,59,833,43,3,0,2,12,4,1,0,0,2
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,135,5,115,0,6,2,0,0,47,29,25,52,1,47,0,3,0,0,1,0,0,2
0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,28,5,4,0,4,0,0,0,6,12,12,13,0,0,0,3,0,1,0,0,0,2
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,46,9,11,0,7,0,0,0,22,35,31,24,2,2,0,2,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,193,27,1,0,0,5,0,0,40,52,5,140,6,1,0,0,21,0,0,0,0,1
5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,86,11,0,0,0,0,0,0,21,6,11,54,0,0,0,0,0,2,1,0,0,0
5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,100,13,0,0,0,0,0,0,64,29,7,69,1,2,0,0,0,3,2,0,0,0
2,1,0,0,0,0,0,45,1,0,0,0,0,0,11,1562,157,6,0,1,0,0,0,527,214,98,1180,31,3,0,0,11,5,1,0,0,5
0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,312,73,5,0,1,0,0,0,159,220,24,198,4,3,0,0,3,1,0,0,0,1
1,2,0,0,0,0,0,7,0,0,0,0,0,0,9,601,32,15,0,5,1,0,0,119,79,512,275,3,9,0,3,5,3,2,0,0,39
0,6,0,0,0,50,0,83,3,0,0,0,0,0,6,1955,249,1,0,0,1,0,0,150,185,28,22025,868,127,5,74,251,85,41,0,0,232
1,3,0,0,0,32,0,58,3,0,0,0,0,0,5,625,149,3,0,1,1,0,0,71,116,13,6790,933,48,0,54,90,19,19,0,0,55
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,67,10,24,0,4,0,0,0,14,29,10,912,79,1164,0,41,57,5,23,0,0,40
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,8,1,0,1,0,0,0,1,11,2,324,35,59,2,112,30,2,7,0,0,49
0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,24,15,1,0,1,0,0,0,5,18,12,483,55,56,0,200,32,4,3,0,0,76
0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,138,40,1,0,0,2,0,0,22,33,4,1059,97,7,0,3,420,5,2,0,0,7
1,0,0,0,0,0,0,12,1,0,0,0,0,0,1,154,24,1,0,0,0,0,0,22,22,8,940,44,12,0,2,14,530,47,0,0,8
1,0,0,0,0,0,0,18,0,0,0,0,0,0,2,157,15,2,0,0,0,0,0,18,10,3,1129,110,10,0,1,29,111,382,0,0,11
1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,69,12,0,0,0,0,0,0,14,5,1,601,26,0,0,0,7,1,4,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,0,0,0,1,5,0,195,40,1,0,19,6,1,0,0,0,1
0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,158,14,4,0,0,0,0,0,14,16,68,1583,44,205,0,94,64,17,20,0,0,1422
