Class,"cleaning","crouching","jumping","laying","riding","running","scooter","sitting","sittingTogether","sittingWhileCalling","sittingWhileDrinking","sittingWhileEating","sittingWhileHoldingBabyInArms","sittingWhileTalkingTogether","sittingWhileWatchingPhone","standing","standingTogether","standingWhileCalling","standingWhileDrinking","standingWhileEating","standingWhileHoldingBabyInArms","standingWhileHoldingCart","standingWhileHoldingStroller","standingWhileLookingAtShops","standingWhileTalkingTogether","standingWhileWatchingPhone","walking","walkingTogether","walkingWhileCalling","walkingWhileDrinking","walkingWhileEating","walkingWhileHoldingBabyInArms","walkingWhileHoldingCart","walkingWhileHoldingStroller","walkingWhileLookingAtShops","walkingWhileTalkingTogether","walkingWhileWatchingPhone"
ACC,0.99779,0.99552,0.99925,0.99994,0.9994,0.99586,0.99948,0.96835,0.9946,0.99945,0.99977,0.9986,0.99904,0.99846,0.98903,0.81936,0.94931,0.99409,0.99877,0.99718,0.99348,0.99742,0.99605,0.93416,0.97016,0.97645,0.65858,0.87288,0.97508,0.9913,0.98433,0.97299,0.97919,0.97656,0.99032,0.99634,0.96286
AUC,0.52701,0.65775,0.50847,0.5,0.5,0.63313,0.5,0.74834,0.51506,0.5238,0.5,0.49993,0.5,0.49999,0.70286,0.67001,0.53137,0.62143,0.5,0.51785,0.50498,0.5,0.49999,0.55637,0.59919,0.64465,0.70037,0.53928,0.73054,0.50147,0.59846,0.6094,0.64186,0.59388,0.5,0.5,0.68684
AUCI,Poor,Fair,Poor,Poor,Poor,Fair,Poor,Good,Poor,Poor,Poor,Poor,Poor,Poor,Good,Fair,Poor,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Fair,Good,Poor,Good,Poor,Poor,Fair,Fair,Poor,Poor,Poor,Fair
F1,0.08602,0.37613,0.03333,0.0,0.0,0.33403,0.0,0.4967,0.05023,0.08696,0.0,0.0,0.0,0.0,0.46144,0.41944,0.10456,0.33577,0.0,0.06061,0.01953,0.0,0.0,0.17205,0.16064,0.36082,0.62614,0.16005,0.54802,0.00593,0.24891,0.28757,0.39805,0.29728,0.0,0.0,0.49851
TPR,0.05442,0.31707,0.01695,0.0,0.0,0.26756,0.0,0.5141,0.03107,0.04762,0.0,0.0,0.0,0.0,0.40997,0.46183,0.08006,0.24416,0.0,0.03608,0.01012,0.0,0.0,0.13649,0.21825,0.29733,0.83349,0.10265,0.46917,0.003,0.20243,0.22752,0.28757,0.19014,0.0,0.0,0.38123
FPR,0.0004,0.00158,0.0,0.0,0.0,0.0013,0.0,0.01742,0.00095,3e-05,0.0,0.00014,0.0,1e-05,0.00425,0.12181,0.01732,0.00129,0.0,0.00039,0.00017,0.0,1e-05,0.02375,0.01987,0.00802,0.43275,0.02409,0.00809,7e-05,0.00551,0.00871,0.00386,0.00239,0.0,0.0,0.00754
PPV,0.20513,0.46222,1.0,None,None,0.44444,None,0.48043,0.13095,0.5,None,0.0,None,0.0,0.5277,0.38418,0.15069,0.53738,None,0.18919,0.27778,None,0.0,0.23267,0.12709,0.45878,0.5014,0.36304,0.65874,0.28571,0.3231,0.3907,0.64634,0.68093,None,None,0.72
TP,8,104,1,0,0,80,0,1203,11,2,0,0,0,0,362,5027,228,115,0,7,5,0,0,527,220,512,22025,933,1164,2,200,420,530,382,0,0,1422
FP,31,121,0,0,0,100,0,1301,73,2,0,11,0,1,324,8058,1285,99,0,30,13,0,1,1738,1511,604,21902,1637,603,5,419,655,290,179,0,0,553
FN,139,224,58,5,46,219,40,1137,343,40,18,97,74,118,521,5858,2620,356,95,187,489,199,303,3334,788,1210,4400,8156,1317,665,788,1426,1313,1627,746,282,2308
TN,76858,76587,76977,77031,76990,76637,76996,73395,76609,76992,77018,76928,76962,76917,75829,58093,72903,76466,76941,76812,76529,76837,76732,71437,74517,74710,28709,66310,73952,76364,75629,74535,74903,74848,76290,76754,72753
N,76889,76708,76977,77031,76990,76737,76996,74696,76682,76994,77018,76939,76962,76918,76153,66151,74188,76565,76941,76842,76542,76837,76733,73175,76028,75314,50611,67947,74555,76369,76048,75190,75193,75027,76290,76754,73306
P,147,328,59,5,46,299,40,2340,354,42,18,97,74,118,883,10885,2848,471,95,194,494,199,303,3861,1008,1722,26425,9089,2481,667,988,1846,1843,2009,746,282,3730
POP,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036,77036
TOP,39,225,1,0,0,180,0,2504,84,4,0,11,0,1,686,13085,1513,214,0,37,18,0,1,2265,1731,1116,43927,2570,1767,7,619,1075,820,561,0,0,1975
TON,76997,76811,77035,77036,77036,76856,77036,74532,76952,77032,77036,77025,77036,77035,76350,63951,75523,76822,77036,76999,77018,77036,77035,74771,75305,75920,33109,74466,75269,77029,76417,75961,76216,76475,77036,77036,75061
